feature_name,source_table,definition,event_timestamp,availability_timestamp,prediction_timestamp,allowed_preassign,allowed_postassign,target_derived,historical_only,reason
account,accounts,Account identity at engagement,engage_date,engage_date,engage_date,true,true,false,false,Known at opportunity creation
sector,accounts,Account sector,engage_date,engage_date,engage_date,true,true,false,false,Known firmographic
year_established,accounts,Account founding year,engage_date,engage_date,engage_date,true,true,false,false,Known firmographic
revenue,accounts,Account revenue field,engage_date,engage_date,engage_date,true,true,false,false,Known firmographic subject to source quality
employees,accounts,Account employee count,engage_date,engage_date,engage_date,true,true,false,false,Known firmographic
office_location,accounts,Account region/location,engage_date,engage_date,engage_date,true,true,false,false,Known firmographic
subsidiary_of,accounts,Parent-account identity,engage_date,engage_date,engage_date,true,true,false,false,Known firmographic
product,products,Proposed product,engage_date,engage_date,engage_date,true,true,false,false,Known at engagement
series,products,Product series,engage_date,engage_date,engage_date,true,true,false,false,Known product attribute
sales_price,products,List sales price,engage_date,engage_date,engage_date,true,true,false,false,Known product attribute not realized close value
sales_agent,sales_pipeline,Assigned agent,engage_date,engage_date,engage_date,false,true,false,false,Excluded from PREASSIGN
manager,sales_teams,Manager of assigned agent,engage_date,engage_date,engage_date,false,true,false,false,Excluded from PREASSIGN and non-causal
regional_office,sales_teams,Team office,engage_date,engage_date,engage_date,false,true,false,false,Excluded from PREASSIGN
engage_month,sales_pipeline,Calendar month at engagement,engage_date,engage_date,engage_date,true,true,false,false,Known temporal context
engage_quarter,sales_pipeline,Calendar quarter at engagement,engage_date,engage_date,engage_date,true,true,false,false,Known temporal context
company_age,accounts,Derived age at engagement,engage_date,engage_date,engage_date,true,true,false,false,Uses only founding year and score date
company_size,accounts,Employee-count band at engagement,engage_date,engage_date,engage_date,true,true,false,false,Known firmographic band
account_missing,sales_pipeline,Missing-account indicator,engage_date,engage_date,engage_date,true,true,false,false,Known at opportunity creation
account_prior_opportunities,history,Count of strictly prior opportunities,prior_engage_date,engage_date,engage_date,true,true,false,true,Forward-only count
account_prior_resolved,history,Count of prior resolved outcomes,prior_close_date,engage_date,engage_date,true,true,true,true,Resolution strictly precedes score
account_prior_wins,history,Count of prior outcomes resolved Won,prior_close_date,engage_date,engage_date,true,true,true,true,Resolution strictly precedes score
account_prior_win_rate,history,Smoothed prior Won rate,prior_close_date,engage_date,engage_date,true,true,true,true,Resolution strictly precedes score
account_prior_realized_value,history,Sum of prior realized Won value,prior_close_date,engage_date,engage_date,true,true,true,true,Resolution strictly precedes score
account_prior_avg_won_value,history,Mean prior Won value,prior_close_date,engage_date,engage_date,true,true,true,true,Resolution strictly precedes score
account_prior_avg_terminal_days,history,Mean prior resolved terminal duration,prior_close_date,engage_date,engage_date,true,true,true,true,Resolution strictly precedes score
